,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,mzXML,X3.15V,X3.30V,X3.45V,RSD
1,51.99698421,51.99609041,51.99787801,1746.785,1745.48,1748.09,2,2,2417.914337,3026.366,2014.258235,0.204931086
2,51.99507039,51.99506341,51.99507737,1180.485,1175.41,1185.56,2,1,3461.588748,3602.612432,2943.428571,0.104052811
3,51.99798197,51.99798197,51.99798197,1023.12,1023.12,1023.12,1,1,4204.114108,5097.436,3895.709767,0.141878807
4,51.99590261,51.99590261,51.99590261,672.465,672.465,672.465,1,1,2785.078361,3255.681829,2967.315938,0.079025026
5,51.99801415,51.99801415,51.99801415,1047.57,1047.57,1047.57,1,1,2222.994375,2700.7936,2726.347852,0.111183296
6,51.99706093,51.99706093,51.99706093,653.451,653.451,653.451,1,1,3477.358932,3852.625294,3877.158462,0.059982707
7,52.00024088,52.00024088,52.00024088,868.12,868.12,868.12,1,1,1465.631749,1646.389818,904.04,0.289174115
8,51.99698365,51.99698365,51.99698365,1097.65,1097.65,1097.65,1,1,2732.224186,2978.33625,2790.472412,0.045389367
9,51.9970246,51.9970246,51.9970246,847.164,847.164,847.164,1,1,3925.855103,4091.335,3156.0588,0.134012357
10,51.99703328,51.99703328,51.99703328,1123.65,1123.65,1123.65,1,1,6638.397485,4554.16,6813.035224,0.209399219
13,53.00267616,53.00174264,53.00380579,1152.54,1151.2,1153.67,7,3,5197.167407,8322.279259,5030.321071,0.29989476
14,53.00236317,53.00168606,53.00375197,1132.225,1131.24,1132.76,6,3,3173.1064,3480.557692,2753.189286,0.116446096
16,53.00343606,53.00181888,53.00497653,1265.22,1262.62,1266.92,6,3,14154.94286,29991.59667,22904.06379,0.354933785
17,53.00271989,53.00176844,53.00378515,483.347,476.853,490.487,8,3,6568.693333,3509.381647,3559.895459,0.385371363
18,53.00373406,53.00269232,53.00475647,762.105,761.849,764.464,5,3,16250.70109,13092.27859,16897.24055,0.132091749
19,53.00275064,53.0017823,53.00382643,379.558,379.519,383.913,5,3,4032.448645,6962.440147,4019.568188,0.338745894
21,53.00278865,53.00191523,53.00281141,712.048,712.028,712.723,4,3,5796.184,6249.118394,9512.087484,0.282128187
25,53.00482109,53.00479959,53.0048737,1746.41,1744.45,1748.92,3,3,10347.53548,11058.64667,11403.52909,0.049236376
34,53.00799907,53.00270682,53.01306247,1786.29,1781.4,1799.8,9,3,2063.1996,2732.841026,2365.789041,0.140468616
37,53.01300734,53.00374548,53.01505239,1031.23,1012.29,1040.62,9,3,80971.8231,64971.01586,50299.72195,0.234518733
40,53.01449269,53.01298555,53.01503615,698.786,689.674,701.224,4,3,74641.93035,66930.11397,39972.33979,0.300808448
41,53.01453996,53.01395586,53.01501122,1338.535,1331.98,1343.33,4,3,59221.25868,80698.184,119175.4698,0.351718545
44,53.01502301,53.01398101,53.01502849,734.677,731.162,736.209,3,3,82759.24688,122169.6755,78024.38111,0.25696498
45,53.0150511,53.01400222,53.01505548,462.823,460.733,466.503,3,3,65643.71944,55347.8625,89985.43702,0.252924697
46,53.01351793,53.0027711,53.01499168,781.307,774.054,788.348,4,3,73080.63121,72480.58388,47556.96988,0.22627539
48,53.01086848,53.00776886,53.01396811,1104.015,1102.66,1105.37,2,2,26667.8376,60550.07583,50637.18415,0.379100231
51,53.01505267,53.01505267,53.01505267,844.69,844.69,844.69,1,1,94988.28273,51845.85756,52110.21847,0.374461407
